ProductID,ProductName,Price,CategoryID,Class,ModifyDate,Resistant,IsAllergic,VitalityDays
1,Flour - whole wheat,74.2988,3,Medium,2018-02-16,Durable,Unknown,0
2,Cookie chocolate chip with,91.232900000000001,3,Medium,2017-02-12,Unknown,Unknown,0
3,Onions - cippolini,9.1379000000000001,9,Medium,2018-03-15,Weak,False,111
4,"sauce - gravy,54.305500000000002,9,Medium,2017-11-06,Durable,Unknown,0
5,Artichokes - jerusalem,65.477099999999993,2,Low,2017-08-16,Durable,True,27
6,Wine - magnotta - cab sauv,79.718400000000003,8,High,2017-05-25,Unknown,Unknown,0
7,Table cloth - 53x69 colour,31.837,9,Medium,2017-02-24,Durable,False,0
8,Halibut - steaks,89.857299999999995,5,Medium,2018-03-24,Unknown,True,108
9,Rabbit - whole,84.421899999999994,11,Medium,2017-06-17,Durable,Unknown,0
10,Scampi tail,95.095699999999994,4,Low,2017-07-30,Weak,True,105
11,Garbage bags - clear,6.2949000000000002,9,Low,2017-01-05,Durable,True,67
12,Ezy change mophandle,49.335599999999999,4,Medium,2017-11-01,Durable,True,0
13,"water,28.223199999999999,11,Low,2017-01-16,Durable,False,69
14,Beef - top sirloin,3.3323999999999998,7,Medium,2017-02-26,Durable,True,0
15,"spoon - soup,32.442,1,Low,2017-03-03,Weak,True,0
16,Kellogs special k cereal,54.724600000000002,2,Low,2017-01-23,Durable,True,0
17,"wine - white,43.918199999999999,10,Medium,2017-03-01,Unknown,Unknown,0
18,"lamb - whole,23.396599999999999,10,Medium,2017-12-19,Unknown,False,0
19,Tea - earl grey,22.561399999999999,3,Medium,2017-06-14,Weak,True,94
20,Chocolate - feathers,85.9011,3,Low,2017-07-21,Durable,True,0
21,Kiwi,46.725200000000001,7,High,2018-05-09,Durable,Unknown,0
22,Rice - jasmine sented,27.895499999999998,6,Medium,2017-05-09,Weak,Unknown,48
23,Crab - imitation flakes,79.0184,11,Medium,2017-08-19,Durable,True,0
24,"beer - alexander kieths,89.037000000000006,3,Medium,2017-05-23,Durable,True,65
25,Soupcontfoam16oz 116con,80.766599999999997,10,High,2017-04-09,Durable,True,0
26,Squid u5 - thailand,33.7821,11,Medium,2018-03-26,Weak,False,10
27,Chocolate - compound coating,17.1724,1,Medium,2017-10-29,Unknown,Unknown,86
28,Sobe - tropical energy,12.315300000000001,9,High,2017-10-25,Durable,True,0
29,Spinach - baby,33.588299999999997,7,Low,2017-08-06,Durable,True,50
30,"cheese - brie,67.899000000000001,6,Low,2018-03-21,Weak,Unknown,72
31,Yeast dry - fermipan,73.985100000000003,2,Medium,2017-04-17,Durable,False,0
32,Lettuce - treviso,96.412700000000001,3,High,2017-01-09,Durable,True,0
33,Beans - wax,45.555100000000003,10,Medium,2017-02-01,Weak,True,0
34,Mustard prepared,43.346299999999999,6,Medium,2017-09-21,Weak,Unknown,7
35,"water - mineral,15.7233,6,Low,2017-10-01,Durable,True,97
36,Table cloth 54x72 white,69.257400000000004,9,Low,2018-03-04,Durable,True,0
37,"nut - pistachio,80.317099999999996,7,Low,2017-02-27,Unknown,False,0
38,Sage - ground,81.657899999999998,6,High,2017-09-26,Weak,False,0
39,Dried figs,75.2059,11,Medium,2017-08-04,Weak,False,120
40,Cocktail napkin blue,8.9372000000000007,8,Low,2017-06-28,Unknown,Unknown,0
41,"cup - 6oz,81.721000000000004,7,Medium,2018-03-15,Unknown,True,0
42,Bread - raisin walnut oval,81.0488,1,High,2018-04-01,Weak,False,0
43,Sponge cake mix - chocolate,16.398299999999999,9,High,2017-08-12,Weak,True,96
44,"wine - white,48.598100000000002,7,High,2018-04-09,Durable,True,0
45,Beef - ground medium,79.532399999999996,4,Medium,2018-03-23,Weak,True,0
46,Lambcasing,86.791499999999999,9,High,2017-07-12,Durable,False,0
47,"thyme - lemon,47.133899999999997,9,High,2018-02-16,Weak,False,0
48,Pecan raisin - tarts,60.362499999999997,7,Low,2017-11-26,Unknown,Unknown,114
49,Bacardi breezer - tropical,61.431699999999999,8,High,2017-01-03,Durable,False,0
50,Pork - kidney,43.2864,7,High,2018-04-21,Weak,True,0
51,Wine - crozes hermitage e.,81.013400000000004,11,Medium,2017-05-16,Unknown,Unknown,0
52,"turnip - white,55.605899999999998,1,Low,2017-06-27,Durable,False,0
53,Cassis,92.627899999999997,8,Medium,2018-02-16,Weak,True,0
54,"liners - banana,53.559199999999997,9,Medium,2017-06-23,Weak,True,0
55,Cinnamon buns sticky,6.6181999999999999,3,High,2018-03-05,Unknown,False,85
56,Chips potato salt vinegar 43g,46.403300000000002,9,Low,2017-10-10,Weak,False,0
57,Sausage - breakfast,12.214499999999999,3,Low,2017-11-03,Unknown,True,103
58,Dc hikiage hira huba,20.100899999999999,7,Low,2017-10-24,Durable,Unknown,91
59,Pastry - butterscotch baked,73.538899999999998,10,High,2017-04-08,Unknown,False,0
60,"pepper - paprika,31.694900000000001,2,Medium,2017-09-29,Weak,Unknown,0
61,Sardines,62.545999999999999,8,Low,2017-12-03,Durable,False,90
62,Pears - bosc,19.521699999999999,1,Medium,2017-09-09,Unknown,Unknown,13
63,Cake - mini cheesecake,56.268900000000002,9,Low,2017-08-18,Weak,Unknown,0
64,Vinegar - sherry,16.5229,6,Low,2017-08-05,Unknown,True,94
65,Brandy - bar,21.110600000000002,3,High,2017-04-14,Weak,False,0
66,Pie filling - cherry,9.8823000000000008,7,Medium,2018-05-06,Weak,False,0
67,Wine - sogrape mateus rose,3.7805,5,Low,2017-09-30,Unknown,True,108
68,"beets - candy cane,84.876900000000006,6,High,2017-09-04,Durable,False,72
69,Raspberries - fresh,87.609200000000001,1,Low,2017-10-04,Unknown,True,0
70,Squid - tubes / tenticles 10/20,63.184600000000003,4,Low,2017-05-08,Weak,True,45
71,Cheese - wine,74.407600000000002,6,Low,2018-04-04,Durable,Unknown,0
72,Bar - granola trail mix fruit nut,62.260300000000001,4,High,2017-10-13,Durable,False,0
73,Appetizer - sausage rolls,48.1907,11,Low,2017-05-17,Weak,True,0
74,Carbonated water - cherry,13.6241,7,Medium,2018-04-26,Durable,False,26
75,Chef hat 20cm,4.1799999999999997,8,High,2017-09-14,Durable,Unknown,116
76,Wine - fume blanc fetzer,65.676500000000004,6,Low,2017-02-08,Durable,False,95
77,Potatoes - idaho 100 count,11.4971,9,Medium,2018-02-04,Durable,False,0
78,Wine - magnotta - belpaese,30.420200000000001,4,Medium,2017-09-18,Weak,Unknown,0
79,"pasta - penne,9.5045000000000002,11,High,2017-11-06,Weak,False,104
80,Wasabi powder,93.975200000000001,2,High,2018-02-04,Weak,True,0
81,Cookies - assorted,86.648300000000006,2,Medium,2017-02-08,Unknown,Unknown,0
82,Jolt cola - electric blue,56.809899999999999,5,Low,2018-04-12,Unknown,Unknown,63
83,Lamb - ground,50.883699999999997,1,High,2017-10-22,Durable,Unknown,116
84,Peas - frozen,90.301900000000003,1,Medium,2017-08-25,Durable,False,0
85,Cheese - parmesan cubes,86.8857,7,High,2017-11-06,Durable,Unknown,0
86,Longos - grilled chicken with,18.379100000000001,2,Low,2018-02-28,Weak,False,0
87,Wine - pinot noir latour,3.7847,7,Low,2017-04-02,Unknown,False,0
88,Remy red,91.995999999999995,2,Low,2017-12-19,Durable,Unknown,0
89,"beef - ground,36.728099999999998,3,Medium,2017-11-06,Weak,True,0
90,Flavouring - orange,69.319999999999993,9,High,2018-04-30,Unknown,True,37
91,General purpose trigger,57.042900000000003,6,High,2017-05-02,Durable,True,97
92,"wine - red,60.216099999999997,1,Low,2017-09-13,Weak,Unknown,0
93,Bandage - fexible 1x3,8.1189999999999998,8,Low,2017-06-20,Durable,False,11
94,V8 - berry blend,43.510899999999999,9,High,2018-03-15,Weak,Unknown,108
95,Beans - kidney white,46.391300000000001,1,High,2017-12-02,Unknown,Unknown,0
96,Cheese - bocconcini,62.199300000000001,7,High,2017-07-07,Unknown,False,0
97,Veal - inside,24.779800000000002,4,Medium,2017-08-14,Weak,True,0
98,Shrimp - 31/40,99.875500000000002,3,High,2017-01-07,Weak,False,0
99,Mustard - seed,27.487400000000001,5,Low,2017-12-27,Weak,True,0
100,"pork - loin,69.650099999999995,9,Low,2018-03-27,Durable,Unknown,7
101,"soup - campbells,83.010999999999996,4,Medium,2018-02-19,Durable,Unknown,99
102,"rosemary - primerba,62.256999999999998,4,High,2017-06-14,Unknown,False,0
103,Cream of tartar,72.753399999999999,7,Low,2017-02-22,Unknown,Unknown,0
104,Tia maria,98.247100000000003,5,High,2018-01-04,Unknown,False,0
105,Ecolab - mikroklene 4/4 l,68.878900000000002,1,Medium,2017-01-17,Durable,True,0
106,Pickerel - fillets,18.753,7,High,2017-12-11,Weak,False,19
107,Bread - french baquette,7.4150999999999998,1,High,2017-02-10,Weak,False,0
108,Pasta - orecchiette,79.003799999999998,1,High,2018-03-01,Weak,True,0
109,Muffin - zero transfat,49.379100000000001,1,Medium,2018-02-15,Durable,False,0
110,Black currants,40.941699999999997,9,High,2018-01-26,Durable,Unknown,48
111,Scallops 60/80 iqf,34.906100000000002,11,Medium,2018-01-13,Durable,Unknown,0
112,Browning caramel glace,81.794300000000007,10,High,2017-02-15,Weak,Unknown,0
113,Ocean spray - kiwi strawberry,10.596399999999999,7,Low,2017-04-17,Unknown,False,106
114,Veal - osso bucco,79.563800000000001,8,High,2017-07-11,Weak,True,93
115,Ocean spray - ruby red,45.046599999999998,11,Low,2017-08-22,Weak,False,0
116,Steam pan - half size deep,5.7359999999999998,3,Low,2017-12-31,Weak,True,104
117,Ketchup - tomato,68.638000000000005,11,High,2018-03-27,Weak,Unknown,0
118,Garbag bags - black,65.966999999999999,9,High,2018-05-02,Weak,Unknown,0
119,Soup campbells - italian wedding,29.6372,11,Medium,2018-02-06,Unknown,False,0
120,Water - spring water 500ml,2.7313999999999998,2,Medium,2017-06-23,Durable,Unknown,94
121,Muffin batt - blueberry passion,6.0975999999999999,11,Low,2018-02-03,Durable,Unknown,0
122,Table cloth 62x114 white,11.7845,4,High,2018-02-19,Weak,False,0
123,Oil - shortening - all - purpose,48.148699999999998,4,Low,2018-02-15,Unknown,Unknown,0
124,Macaroons - two bite choc,18.289100000000001,4,Low,2017-10-13,Unknown,True,81
125,"nut - chestnuts,6.1417000000000002,9,Low,2017-01-07,Weak,False,0
126,Crackers - trio,14.1914,6,Low,2017-07-23,Unknown,Unknown,76
127,Island oasis - mango daiquiri,54.141300000000001,8,Medium,2017-04-25,Unknown,False,34
128,Coffee - irish cream,4.6797000000000004,2,Medium,2017-07-12,Durable,Unknown,71
129,Chicken - soup base,67.232900000000001,7,High,2017-05-26,Durable,True,0
130,Beef wellington,41.980800000000002,2,Low,2017-03-11,Unknown,False,0
131,Anchovy paste - 56 g tube,40.896700000000003,3,Medium,2017-11-03,Durable,False,0
132,Beer - blue,11.621700000000001,6,High,2018-01-28,Weak,False,24
133,Beef - top sirloin - aaa,2.9327000000000001,11,Low,2018-01-30,Weak,Unknown,0
134,Wine - toasted head,39.854500000000002,2,High,2017-08-21,Weak,True,0
135,Wiberg super cure,10.9641,10,Low,2018-04-25,Durable,False,61
136,Vol au vents,24.391300000000001,10,Medium,2018-01-03,Weak,True,0
137,"wine - white,84.056600000000003,10,Low,2018-02-19,Durable,False,0
138,"rum - coconut,52.636699999999998,7,Low,2018-02-24,Durable,Unknown,0
139,Chicken - wieners,21.422999999999998,1,High,2017-08-09,Weak,False,0
140,"oregano - dry,68.132599999999996,11,High,2018-04-04,Durable,Unknown,16
141,Tea - herbal sweet dreams,10.964,1,Low,2018-01-19,Durable,True,37
142,"pork - bacon,24.780899999999999,6,Medium,2017-06-10,Weak,True,0
143,Watercress,42.616900000000001,1,Medium,2018-03-13,Unknown,True,0
144,"placemat - scallop,95.786500000000004,5,Medium,2018-03-09,Durable,False,0
145,Wine - chardonnay south,34.413899999999998,9,Low,2017-04-18,Durable,Unknown,27
146,Bananas,75.248599999999996,7,High,2017-03-18,Durable,False,0
147,Cheese - mozzarella,49.619700000000002,5,High,2017-05-29,Unknown,False,0
148,Beer - sleemans cream ale,28.555299999999999,11,Medium,2018-04-19,Durable,True,91
149,Zucchini - yellow,98.464399999999998,10,High,2017-07-25,Weak,True,0
150,Langers - ruby red grapfruit,40.655200000000001,9,High,2018-04-10,Durable,False,0
151,"mushrooms - black,93.561300000000003,7,High,2017-08-19,Weak,True,0
152,"lentils - red,58.812800000000003,7,Medium,2017-08-22,Unknown,Unknown,26
153,Arizona - green tea,70.238200000000006,4,Low,2017-04-10,Weak,False,0
154,Ice cream bar - drumstick,24.756,4,Medium,2017-07-06,Weak,True,0
155,"peas - pigeon,63.552399999999999,9,High,2017-02-21,Weak,False,0
156,Sprouts - alfalfa,71.226399999999998,1,High,2018-05-09,Durable,False,0
157,"juice - cranberry,14.1082,11,Medium,2017-09-06,Unknown,False,19
158,Apricots fresh,54.464300000000001,4,High,2017-09-18,Unknown,False,18
159,Eggplant - asian,92.1053,7,Medium,2017-12-29,Durable,True,0
160,Beef ground medium,54.687399999999997,7,Medium,2017-11-03,Weak,True,0
161,Longos - chicken wings,64.611800000000002,10,Low,2017-08-18,Weak,Unknown,0
162,Sauce - demi glace,2.7353000000000001,11,Medium,2017-12-08,Weak,True,117
163,Tomatoes tear drop,11.770799999999999,6,Low,2017-10-07,Unknown,True,116
164,Loquat,7.3982000000000001,11,Medium,2017-12-07,Unknown,False,0
165,Bread crumbs - japanese style,4.4900000000000002E-2,6,Low,2017-03-26,Unknown,False,0
166,Tray - 16in rnd blk,23.284300000000002,5,High,2018-04-25,Durable,False,0
167,Knife plastic - white,78.861500000000007,11,Medium,2017-05-26,Durable,False,0
168,Milk - 2%,70.741900000000001,6,Medium,2018-01-03,Unknown,True,29
169,Water - aquafina vitamin,68.599599999999995,10,Medium,2017-07-26,Unknown,False,0
170,Initation crab meat,20.6553,1,Medium,2017-12-26,Durable,False,0
171,Gloves - goldtouch disposable,21.679400000000001,5,High,2018-03-21,Durable,False,0
172,Sherry - dry,16.001300000000001,5,High,2017-01-31,Durable,Unknown,72
173,Rosemary - dry,44.543999999999997,8,Low,2017-09-24,Durable,False,0
174,Guinea fowl,61.5047,11,High,2018-03-13,Durable,True,0
175,Oil - safflower,91.767499999999998,1,Low,2017-10-12,Weak,True,52
176,Smirnoff green apple twist,81.316699999999997,6,High,2017-08-27,Durable,True,90
177,"coconut - shredded,69.167699999999996,3,Medium,2018-04-18,Weak,True,0
178,Pernod,52.362299999999998,10,High,2018-04-17,Weak,True,0
179,Yoghurt tubes,83.875200000000007,6,Low,2017-06-28,Durable,Unknown,26
180,Chocolate - dark,30.8932,3,Low,2018-03-01,Durable,True,27
181,Phyllo dough,64.571799999999996,1,Medium,2017-02-24,Unknown,False,0
182,Campari,25.585999999999999,9,Low,2017-05-16,Weak,False,54
183,Spice - peppercorn melange,6.2153999999999998,4,High,2018-04-27,Weak,False,0
184,Hersey shakes,26.5776,9,Low,2017-06-24,Weak,True,0
185,Foam dinner plate,48.419499999999999,6,Low,2017-11-30,Weak,Unknown,40
186,Muffin mix - blueberry,82.0839,8,Low,2017-03-15,Weak,False,0
187,"pepper - black,41.383499999999998,3,Medium,2017-10-20,Durable,False,31
188,Cup - translucent 7 oz clear,78.1768,8,High,2017-07-27,Durable,False,91
189,"bread - roll,76.302099999999996,5,High,2017-07-01,Unknown,False,16
190,Cake - cake sheet macaroon,39.7378,9,Medium,2018-04-25,Durable,True,93
191,"hickory smoke,10.282999999999999,10,High,2017-04-30,Weak,Unknown,0
192,"wine - magnotta,29.592300000000002,7,Medium,2017-06-03,Durable,Unknown,0
193,"veal - inside,60.531399999999998,11,Medium,2017-02-26,Unknown,False,19
194,Lettuce - frisee,66.735699999999994,6,Medium,2018-02-12,Unknown,False,0
195,Beets - mini golden,3.5207999999999999,2,Medium,2017-08-18,Durable,Unknown,70
196,Longos - grilled salmon with bbq,8.2286000000000001,1,High,2017-02-11,Unknown,Unknown,0
197,Mussels - cultivated,13.0101,1,Medium,2018-01-11,Unknown,True,0
198,Lime cordial - roses,35.218699999999998,1,Low,2017-04-06,Durable,False,60
199,Pork - hock and feet attached,95.741500000000002,10,Medium,2017-12-15,Weak,Unknown,105
200,Garlic - peeled,11.1295,5,Medium,2017-05-02,Weak,False,0
201,Grenadine,96.387100000000004,8,Medium,2018-03-01,Weak,True,117
202,Bay leaf,78.877799999999993,11,Low,2017-10-02,Weak,True,0
203,"chicken - leg,59.9557,1,High,2017-09-25,Weak,Unknown,29
204,Scallop - st. jaques,77.808999999999997,9,Medium,2017-12-06,Durable,True,5
205,"turkey - whole,18.9757,5,High,2017-01-21,Weak,False,32
206,Cocoa butter,77.560000000000002,3,Low,2017-07-19,Unknown,Unknown,0
207,Coffee - hazelnut cream,14.268800000000001,10,Medium,2018-04-06,Unknown,True,116
208,"mushroom - trumpet,8.7334999999999994,5,Medium,2017-06-06,Weak,False,15
209,Sugar - fine,32.988500000000002,3,Low,2018-01-31,Unknown,Unknown,0
210,"cheese - brie,82.235799999999998,3,High,2017-11-03,Unknown,Unknown,0
211,Wine - prosecco valdobiaddene,2.0587,9,Low,2017-01-22,Unknown,True,76
212,Curry paste - madras,61.746000000000002,2,High,2017-09-28,Weak,True,97
213,Pate - cognac,70.589100000000002,10,High,2017-03-23,Weak,True,39
214,French pastry - mini chocolate,61.2121,5,Low,2018-03-09,Durable,Unknown,0
215,"veal - brisket,90.115700000000004,7,High,2017-11-06,Weak,Unknown,92
216,Scallops - 10/20,39.025700000000001,1,Low,2017-04-04,Unknown,Unknown,0
217,Bread - multigrain,96.519999999999996,8,Medium,2017-12-21,Durable,True,0
218,Barramundi,85.193299999999994,8,High,2017-04-15,Weak,True,31
219,Assorted desserts,58.978700000000003,5,Low,2017-01-08,Durable,False,0
220,Meldea green tea liquor,17.960999999999999,10,Low,2017-01-12,Weak,False,0
221,Bread crumbs - panko,81.900800000000004,3,Low,2017-07-06,Unknown,False,0
222,"sole - dover,0.68459999999999999,3,High,2017-11-06,Unknown,False,0
223,Pail with metal handle 16l white,94.439899999999994,1,Medium,2017-07-06,Unknown,Unknown,0
224,Flour - pastry,28.861799999999999,1,High,2017-08-09,Weak,False,0
225,Wine - charddonnay errazuriz,10.372199999999999,3,Medium,2017-08-28,Weak,Unknown,0
